Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
10.64,11.25,2.87,2.98,447,557,936,868,444,-11.3,0.2,0.61,-0.09,3.0,0,0,0,0,0,1,1471850.4384155606,1867.1977618098288,6.326357789251096,6.119999999999999,1.2521691245493842,176180497.47834262,119.7,中型_超重構造_標準天井_RC中心,success,5.400295257568359,fcstd_outputs/sample52.FCStd
9.82,8.37,3.09,3.15,409,462,796,586,362,-8.2,0.55,0.97,0.3,3.1,1,1,1,1,0,0,979843.829726332,1315.6173904495295,6.3702834789632075,5.43,1.2308011736219995,80536695.83422829,82.1934,小型_超重構造_標準天井_木造中心,success,6.796993970870972,fcstd_outputs/sample53.FCStd
10.0,8.98,3.08,3.13,416,414,675,955,472,4.6,0.77,0.89,-0.26,1.2,0,1,1,1,0,0,1342475.5840044771,1684.750008948045,6.527105319963775,6.289999999999999,2.308963121513997,120554307.44360206,89.80000000000001,小型_超重構造_標準天井_混合構造,success,7.1500678062438965,fcstd_outputs/sample54.FCStd
11.81,8.98,2.96,3.15,370,526,719,829,322,6.4,0.69,0.56,-0.3,1.0,1,0,0,0,1,0,1021615.5802455181,1337.0508703206572,6.428956814639732,7.109999999999999,1.7870461315366628,108346214.42424214,106.05380000000001,中型_超重構造_標準天井_混合構造,success,7.196503162384033,fcstd_outputs/sample55.FCStd
8.21,9.25,3.39,2.69,562,394,711,803,465,-4.4,0.31,0.02,0.37,2.4,1,1,1,0,0,0,840027.304184697,816.4987324976574,6.113404029561233,7.3100000000000005,1.8568106870964864,63793773.54804636,75.94250000000001,小型_超重構造_標準天井_混合構造,success,4.6777729988098145,fcstd_outputs/sample56.FCStd
8.45,9.77,2.7,2.92,438,463,915,450,483,-3.9,0.51,0.72,-0.28,1.2,1,1,1,1,0,0,783366.6901524578,917.3295290759097,5.642091442626555,6.359999999999999,2.079738202532398,64672012.15557137,82.55649999999999,小型_超重構造_標準天井_木造中心,success,4.574408054351807,fcstd_outputs/sample57.FCStd
11.36,10.55,2.69,2.92,463,443,728,952,468,12.2,0.47,0.01,0.39,2.1,1,1,1,0,0,0,854403.6342061558,721.7968815847015,6.173341030899227,6.529999999999999,0.8860357912660939,102398566.75233936,119.848,中型_超重構造_標準天井_混合構造,success,5.163953065872192,fcstd_outputs/sample58.FCStd
8.42,10.91,2.8,3.09,513,436,973,504,384,-2.3,0.27,0.85,0.4,2.0,0,1,0,0,1,0,909150.4383447464,1326.8980292045107,5.931019410539147,6.02,2.600813582449123,83516559.39731276,91.8622,小型_超重構造_標準天井_混合構造,success,6.4793620109558105,fcstd_outputs/sample59.FCStd
8.86,11.7,3.33,2.63,485,518,567,740,372,27.7,0.73,0.77,-0.44,1.4,1,1,0,1,0,1,867085.1192958351,964.0253184268499,5.6090847776117165,3.9800000000000004,1.1148375079787871,89883777.63644485,103.66199999999999,中型_超重構造_標準天井_木造中心,success,5.991020917892456,fcstd_outputs/sample60.FCStd
11.52,9.91,2.98,2.89,392,501,911,622,330,28.5,0.64,0.42,0.03,1.6,0,1,0,1,0,0,856022.4447543678,1262.1844031769976,5.483532621512743,4.9,2.8873199274585932,97726261.56498185,114.1632,中型_超重構造_標準天井_混合構造,success,6.837548017501831,fcstd_outputs/sample61.FCStd
9.17,10.66,3.35,3.0,512,359,539,560,409,8.9,0.85,0.56,0.17,2.6,0,0,0,0,1,0,762019.9446988832,1519.919633657662,7.059795969786283,6.359999999999999,1.4433107301998978,74489126.03819418,97.7522,小型_超重構造_標準天井_RC中心,success,5.171768665313721,fcstd_outputs/sample62.FCStd
10.29,10.47,3.01,3.19,587,540,472,505,402,-26.0,0.69,0.55,0.06,1.7,1,0,0,1,1,0,621849.8663917736,937.3875616525535,6.364132548630577,5.15,1.2378111717436275,66995803.76054403,107.7363,中型_超重構造_標準天井_混合構造,success,6.89331579208374,fcstd_outputs/sample63.FCStd
9.15,8.26,3.07,2.92,467,418,814,975,389,24.1,0.39,0.6,-0.18,1.7,0,1,1,0,0,1,1124298.577153952,1508.754979850281,5.348113786168289,5.34,4.2122004648228675,84973362.16271855,75.57900000000001,小型_超重構造_標準天井_混合構造,success,5.392423152923584,fcstd_outputs/sample64.FCStd
8.9,9.04,3.38,3.07,562,542,994,695,353,28.6,0.55,0.66,0.36,1.3,1,0,1,0,1,0,1115661.1894758246,934.7632481086571,5.182954801783484,4.89,4.4188988446363044,89761636.66046692,80.45599999999999,小型_超重構造_標準天井_混合構造,success,6.342587947845459,fcstd_outputs/sample65.FCStd
8.07,10.65,3.24,2.97,577,377,561,987,433,13.6,0.34,0.64,-0.38,2.8,0,0,0,0,0,0,1342622.3625114623,2000.0,6.425183266010796,5.890000000000001,1.5821897019074849,115392350.2572289,85.94550000000001,小型_超重構造_標準天井_RC中心,success,5.063334941864014,fcstd_outputs/sample66.FCStd
9.22,10.23,2.81,3.09,367,449,992,586,406,28.1,0.15,0.13,-0.13,2.0,0,0,1,1,1,1,571956.311320816,578.8972471567147,5.06475300754698,4.9399999999999995,2.7936860826973717,53947262.45756617,94.32060000000001,小型_超重構造_標準天井_木造中心,success,5.267209053039551,fcstd_outputs/sample67.FCStd
10.89,8.88,2.9,3.04,419,486,794,668,344,-24.6,0.76,0.23,-0.15,1.2,0,1,0,1,0,0,642414.5774228416,898.1031687660554,5.577127511876553,5.29,2.6020741217831964,62123545.36343654,96.70320000000001,小型_超重構造_標準天井_混合構造,success,4.313654899597168,fcstd_outputs/sample68.FCStd
11.89,10.28,3.41,2.61,572,526,540,437,453,5.0,0.26,0.21,-0.48,2.4,0,0,0,0,1,0,674313.7964578657,1465.8021566997963,6.777801274054608,6.75,0.8889388074859231,82420835.89000776,122.22919999999999,中型_超重構造_標準天井_RC中心,success,5.815814971923828,fcstd_outputs/sample69.FCStd
11.33,11.78,3.01,3.12,385,423,961,895,410,9.4,0.16,0.63,0.08,1.5,0,1,0,0,0,1,1121153.8831165663,1462.0476231526716,6.319246962010088,6.8100000000000005,2.7016551478496003,149637493.779472,133.4674,中型_超重構造_標準天井_混合構造,success,5.833165168762207,fcstd_outputs/sample70.FCStd
10.47,8.38,2.66,3.01,570,594,555,815,333,-0.3,0.72,0.75,0.17,1.8,1,0,0,1,0,1,1098485.58314229,1596.0708101868909,6.270225616045909,6.720000000000001,1.300068432338667,96379587.18508814,87.73860000000002,小型_超重構造_標準天井_混合構造,success,5.464260816574097,fcstd_outputs/sample71.FCStd
9.72,10.88,3.32,2.94,491,545,400,836,482,-4.6,0.29,0.77,-0.34,2.6,0,0,0,0,1,1,966250.1027001854,1721.9087924610608,7.061030305168712,5.789999999999999,1.4617766266871655,102184426.86091435,105.75360000000002,中型_超重構造_標準天井_混合構造,success,5.430219888687134,fcstd_outputs/sample72.FCStd
8.82,9.67,3.03,2.66,490,516,640,992,454,-27.4,0.74,0.92,-0.1,1.1,0,0,0,1,0,1,1371585.1897675658,1850.8049723848353,5.371491128759411,4.01,4.56044443861871,116981677.88416183,85.2894,小型_超重構造_標準天井_混合構造,success,5.979098081588745,fcstd_outputs/sample73.FCStd
9.84,9.88,3.42,3.15,471,384,449,500,367,-5.6,0.41,0.97,-0.22,2.5,0,1,0,0,1,0,643592.4542705815,1538.0661188876852,6.88988726466882,5.6899999999999995,0.7983929949371262,62569543.53022251,97.2192,小型_超重構造_標準天井_混合構造,success,5.554924964904785,fcstd_outputs/sample74.FCStd
8.51,9.58,2.8,3.09,474,501,837,758,475,-3.7,0.79,0.38,0.25,2.8,0,1,1,1,1,1,669176.7927636664,682.6560475226925,6.533850152236545,6.880000000000001,1.7281821187739037,54555173.37149212,81.5258,小型_超重構造_標準天井_木造中心,success,3.8765008449554443,fcstd_outputs/sample75.FCStd
9.59,8.97,2.66,2.92,409,464,626,560,480,-3.1,0.54,0.91,-0.49,2.4,0,1,1,0,0,1,904493.4750494651,1915.0846274372984,6.289360938529073,5.9399999999999995,1.466011242825498,77806609.0587476,86.0223,小型_超重構造_低天井_混合構造,success,4.950630187988281,fcstd_outputs/sample76.FCStd
8.21,9.42,3.15,2.95,394,443,506,947,398,27.3,0.56,0.02,0.47,2.1,0,1,1,0,1,1,553450.0898999457,653.5348097184329,5.6175907252482045,5.02,1.9697254701101252,42802833.74269998,77.3382,小型_超重構造_標準天井_木造中心,success,4.342862129211426,fcstd_outputs/sample77.FCStd
9.23,10.07,2.83,2.9,520,445,624,441,316,14.6,0.5,0.13,0.15,1.7,1,1,1,1,1,0,429151.8328637996,383.0114143347018,5.934639048406037,6.789999999999999,1.322167628042697,39887989.172542006,92.9461,小型_超重構造_標準天井_木造中心,success,3.7356059551239014,fcstd_outputs/sample78.FCStd
